scorer,DLC_resnet50_RatFeb2shuffle1_1080000,DLC_resnet50_RatFeb2shuffle1_1080000.1,DLC_resnet50_RatFeb2shuffle1_1080000.2,DLC_resnet50_RatFeb2shuffle1_1080000.3,DLC_resnet50_RatFeb2shuffle1_1080000.4,DLC_resnet50_RatFeb2shuffle1_1080000.5,DLC_resnet50_RatFeb2shuffle1_1080000.6,DLC_resnet50_RatFeb2shuffle1_1080000.7,DLC_resnet50_RatFeb2shuffle1_1080000.8,DLC_resnet50_RatFeb2shuffle1_1080000.9,DLC_resnet50_RatFeb2shuffle1_1080000.10,DLC_resnet50_RatFeb2shuffle1_1080000.11,DLC_resnet50_RatFeb2shuffle1_1080000.12,DLC_resnet50_RatFeb2shuffle1_1080000.13,DLC_resnet50_RatFeb2shuffle1_1080000.14,DLC_resnet50_RatFeb2shuffle1_1080000.15,DLC_resnet50_RatFeb2shuffle1_1080000.16,DLC_resnet50_RatFeb2shuffle1_1080000.17,DLC_resnet50_RatFeb2shuffle1_1080000.18,DLC_resnet50_RatFeb2shuffle1_1080000.19,DLC_resnet50_RatFeb2shuffle1_1080000.20,DLC_resnet50_RatFeb2shuffle1_1080000.21,DLC_resnet50_RatFeb2shuffle1_1080000.22,DLC_resnet50_RatFeb2shuffle1_1080000.23
bodyparts,Nose,Nose,Nose,LeftEye,LeftEye,LeftEye,LeftEar,LeftEar,LeftEar,RightEye,RightEye,RightEye,RightEar,RightEar,RightEar,HP_post,HP_post,HP_post,CameraBrace-joint,CameraBrace-joint,CameraBrace-joint,CameraBrace-top,CameraBrace-top,CameraBrace-top
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,2523.408447265625,1881.463623046875,0.9392746090888977,2481.655029296875,1880.6795654296875,0.3917429447174072,2434.052001953125,1889.87890625,0.2013271301984787,2480.815673828125,1880.6019287109375,0.9935084581375122,2435.82763671875,1892.298583984375,0.9982783794403076,2462.828369140625,1850.5335693359375,0.9827521443367004,2391.15966796875,1866.6182861328125,0.9864811897277832,2379.850341796875,1811.890380859375,0.9903629422187805
1,2522.0537109375,1880.2841796875,0.9329593777656555,2481.640380859375,1880.7137451171875,0.38577142357826233,2433.6904296875,1889.7708740234375,0.22014789283275604,2480.78125,1880.60498046875,0.9933521747589111,2435.534912109375,1892.20751953125,0.9980403780937195,2462.8037109375,1850.4708251953125,0.9825717210769653,2389.906494140625,1865.313232421875,0.9885501265525818,2379.6318359375,1811.896728515625,0.9903896450996399
2,2520.26171875,1881.063720703125,0.9606317281723022,2478.83544921875,1881.3912353515625,0.5080289840698242,2518.478759765625,1890.7962646484375,0.4956938922405243,2478.5361328125,1880.6270751953125,0.9877184629440308,2434.214599609375,1892.2681884765625,0.9981679916381836,2459.619873046875,1849.1947021484375,0.9732677340507507,2388.76953125,1866.1796875,0.9907900094985962,2377.76220703125,1812.787353515625,0.9888623356819153
3,2520.22265625,1880.655029296875,0.9687096476554871,2475.46728515625,1880.4385986328125,0.4923778474330902,2517.53076171875,1889.18115234375,0.3130018711090088,2475.491455078125,1879.6358642578125,0.9652608633041382,2431.671630859375,1892.0103759765625,0.9947324991226196,2457.488037109375,1850.3609619140625,0.9883400201797485,2386.25,1865.6158447265625,0.9883573651313782,2375.770751953125,1811.992431640625,0.9920980930328369
4,2520.10498046875,1878.612060546875,0.9808443784713745,2474.280029296875,1879.6256103515625,0.521263062953949,2516.23828125,1885.64990234375,0.4198352098464966,2475.21484375,1878.100341796875,0.9652112126350403,2429.98681640625,1890.3056640625,0.991703987121582,2457.490478515625,1848.9793701171875,0.9859894514083862,2387.05224609375,1862.9320068359375,0.9955701231956482,2376.37646484375,1810.2640380859375,0.9896693825721741
5,2519.725830078125,1880.310302734375,0.9905691146850586,2476.31640625,1879.2467041015625,0.45995399355888367,2518.06298828125,1889.3759765625,0.2820766866207123,2476.98876953125,1877.52294921875,0.9759436845779419,2430.123291015625,1888.9544677734375,0.9912785887718201,2460.3466796875,1848.5443115234375,0.9811659455299377,2387.808837890625,1860.6708984375,0.9959812164306641,2378.7568359375,1808.0006103515625,0.9816758036613464
6,2520.697509765625,1886.198486328125,0.9450510740280151,2477.795654296875,1879.7161865234375,0.43884241580963135,2517.572265625,1892.1256103515625,0.5492503046989441,2477.850830078125,1879.10986328125,0.9819433093070984,2431.51806640625,1889.3404541015625,0.9962769150733948,2461.791015625,1848.2791748046875,0.9707829356193542,2390.12109375,1861.0013427734375,0.9966092109680176,2383.14697265625,1806.07958984375,0.9777593612670898
7,2523.736572265625,1882.7059326171875,0.9439850449562073,2477.345947265625,1880.39404296875,0.3673389256000519,2429.5283203125,1887.556640625,0.15685167908668518,2477.734375,1879.7203369140625,0.9872289896011353,2431.444091796875,1890.13623046875,0.9973849654197693,2460.677490234375,1849.0526123046875,0.966060996055603,2389.59619140625,1866.770751953125,0.9948540329933167,2380.716796875,1813.4910888671875,0.9840946793556213
8,2519.123779296875,1876.491455078125,0.9944532513618469,2476.862060546875,1880.592041015625,0.3775791823863983,2515.81640625,1883.2822265625,0.1817779839038849,2477.13818359375,1879.728515625,0.9832430481910706,2431.7587890625,1893.78076171875,0.9968292117118835,2457.669921875,1853.1868896484375,0.9730345606803894,2391.62890625,1878.55908203125,0.9945713877677917,2376.573974609375,1823.79345703125,0.9832282066345215
9,2521.120361328125,1881.4171142578125,0.9637861847877502,2480.841796875,1882.7259521484375,0.2856871783733368,2431.237548828125,1896.5693359375,0.1489998996257782,2481.734375,1882.780029296875,0.9953144788742065,2434.076904296875,1897.3414306640625,0.9940252900123596,2457.501220703125,1856.3314208984375,0.9778629541397095,2390.98681640625,1883.589111328125,0.9936487078666687,2374.62353515625,1830.060791015625,0.9934896230697632
10,2523.152587890625,1880.9259033203125,0.8827196955680847,2482.070068359375,1884.297607421875,0.34603479504585266,2431.609619140625,1897.412109375,0.15996365249156952,2483.015869140625,1884.1365966796875,0.9948721528053284,2434.37158203125,1897.9671630859375,0.9933858513832092,2457.699462890625,1856.8875732421875,0.978882372379303,2390.636962890625,1884.2857666015625,0.9944496154785156,2373.565185546875,1830.884521484375,0.994351863861084
11,2523.611572265625,1881.38623046875,0.9446940422058105,2481.43408203125,1884.06298828125,0.3191351592540741,2432.388916015625,1898.246826171875,0.18485385179519653,2482.285400390625,1883.8834228515625,0.9939703941345215,2435.1533203125,1898.8668212890625,0.9940203428268433,2457.28662109375,1857.5538330078125,0.9806174635887146,2388.625732421875,1885.3043212890625,0.996688187122345,2371.82958984375,1831.9510498046875,0.9959045052528381
12,2525.97509765625,1878.2642822265625,0.9644288420677185,2480.40087890625,1883.752197265625,0.31730860471725464,2431.8623046875,1900.8768310546875,0.3292543590068817,2480.9873046875,1883.3037109375,0.9943103790283203,2435.0224609375,1901.6146240234375,0.9905771017074585,2454.792236328125,1860.1397705078125,0.9928743839263916,2387.26123046875,1887.9228515625,0.9954397082328796,2369.26318359375,1834.977783203125,0.9846078753471375
13,2521.859619140625,1876.1104736328125,0.9667840003967285,2479.842041015625,1884.181640625,0.3461950421333313,2431.343017578125,1902.2470703125,0.3302052617073059,2480.21923828125,1883.6522216796875,0.9917005896568298,2434.7392578125,1902.9136962890625,0.9915196299552917,2454.41845703125,1860.95068359375,0.9953086972236633,2386.186767578125,1889.1702880859375,0.9956855773925781,2368.170166015625,1837.83349609375,0.9769960045814514
14,2523.40380859375,1878.455810546875,0.9806928038597107,2481.79150390625,1884.931396484375,0.3644549250602722,2432.74951171875,1901.6348876953125,0.3398570716381073,2482.22900390625,1884.556640625,0.9916519522666931,2436.27783203125,1902.4117431640625,0.990379810333252,2456.594482421875,1860.768310546875,0.9903929829597473,2387.06494140625,1887.78759765625,0.9951252341270447,2370.22412109375,1836.2010498046875,0.985323965549469
15,2523.97802734375,1878.4266357421875,0.9810051321983337,2481.90966796875,1885.233642578125,0.3730487525463104,2433.854736328125,1900.7628173828125,0.27741023898124695,2482.173828125,1884.736328125,0.9902511835098267,2437.105224609375,1902.053955078125,0.9915273785591125,2456.907958984375,1859.2393798828125,0.9890796542167664,2386.3623046875,1886.1109619140625,0.9943361878395081,2370.73974609375,1833.8250732421875,0.992374837398529
16,2523.922607421875,1879.2752685546875,0.9692782759666443,2481.15087890625,1883.9759521484375,0.3231339752674103,2519.1533203125,1890.19873046875,0.31628257036209106,2481.87548828125,1883.8851318359375,0.9936181306838989,2436.406005859375,1901.0306396484375,0.9928600192070007,2457.141357421875,1859.045654296875,0.9865279793739319,2387.132080078125,1885.015869140625,0.9959108829498291,2370.71142578125,1833.2841796875,0.9942599534988403
17,2522.957763671875,1878.958740234375,0.9772984385490417,2480.44287109375,1883.4234619140625,0.3230955898761749,2433.54052734375,1900.5941162109375,0.3068024218082428,2481.1025390625,1883.3834228515625,0.9935528039932251,2436.588134765625,1902.0498046875,0.9920153617858887,2456.659423828125,1859.650634765625,0.9896787405014038,2387.358154296875,1885.1728515625,0.9954700469970703,2370.36279296875,1833.9805908203125,0.9911509156227112
18,2524.123779296875,1878.7762451171875,0.9695271849632263,2480.698974609375,1883.501708984375,0.2956315875053406,2433.204345703125,1899.9451904296875,0.2626211941242218,2481.09033203125,1883.1240234375,0.9950709342956543,2435.7431640625,1900.8116455078125,0.9935351610183716,2457.17626953125,1858.8583984375,0.983045220375061,2387.890625,1884.6431884765625,0.9955542683601379,2370.603271484375,1833.470458984375,0.9940652847290039
19,2522.2275390625,1880.8919677734375,0.9306166172027588,2481.11767578125,1883.6124267578125,0.3381623327732086,2518.70361328125,1891.08349609375,0.39234861731529236,2481.781494140625,1883.48486328125,0.99393230676651,2435.956787109375,1899.331787109375,0.9942454695701599,2457.497314453125,1857.474853515625,0.9840686917304993,2389.252685546875,1882.470947265625,0.9954633116722107,2372.1806640625,1831.1114501953125,0.9965384006500244
20,2522.46435546875,1882.634765625,0.7991859912872314,2481.635986328125,1884.002685546875,0.3697054982185364,2433.136474609375,1896.946533203125,0.17422476410865784,2482.26025390625,1883.7442626953125,0.9945640563964844,2435.520751953125,1897.1287841796875,0.9928954243659973,2458.926025390625,1855.618408203125,0.9573176503181458,2389.299560546875,1879.6998291015625,0.9977543950080872,2374.423583984375,1825.7225341796875,0.9935641884803772
21,2523.103759765625,1884.576904296875,0.864380419254303,2481.3984375,1883.4525146484375,0.31603696942329407,2520.01904296875,1892.5299072265625,0.5264416337013245,2481.8408203125,1883.492431640625,0.9938562512397766,2434.776123046875,1897.76416015625,0.994599461555481,2459.38916015625,1855.23388671875,0.9567923545837402,2389.195068359375,1878.4766845703125,0.998380184173584,2374.88134765625,1824.633544921875,0.9929184317588806
22,2524.02099609375,1881.1077880859375,0.9406628012657166,2480.78369140625,1883.19677734375,0.32850223779678345,2519.408935546875,1890.72021484375,0.3591615557670593,2481.185302734375,1882.9915771484375,0.9940220713615417,2435.1279296875,1897.22509765625,0.9927790760993958,2458.501953125,1855.2083740234375,0.9661785960197449,2389.092529296875,1880.0673828125,0.9974155426025391,2372.933349609375,1827.4132080078125,0.9966198205947876
23,2522.944580078125,1877.817626953125,0.9807080626487732,2480.5556640625,1882.8077392578125,0.3050370514392853,2432.5576171875,1897.72802734375,0.189020574092865,2480.77001953125,1882.47412109375,0.9955841898918152,2434.906982421875,1898.40673828125,0.9917442202568054,2458.01171875,1855.7802734375,0.9652497172355652,2389.4765625,1882.7520751953125,0.9946191310882568,2371.31787109375,1830.812255859375,0.9970507621765137
24,2525.2841796875,1877.9334716796875,0.9826675057411194,2482.224365234375,1882.8646240234375,0.3933967351913452,2520.586181640625,1888.425537109375,0.2506018877029419,2482.673583984375,1882.934814453125,0.9931723475456238,2436.240966796875,1898.3731689453125,0.9954560995101929,2458.630615234375,1856.4949951171875,0.9555437564849854,2391.412353515625,1883.4368896484375,0.9919180274009705,2372.614990234375,1830.7437744140625,0.9960983991622925
25,2525.204833984375,1877.85400390625,0.9890096783638,2482.299072265625,1882.5335693359375,0.36648374795913696,2433.8369140625,1895.61474609375,0.11309793591499329,2482.7626953125,1882.4910888671875,0.9948179125785828,2435.79296875,1897.77734375,0.9948531985282898,2459.8837890625,1855.5291748046875,0.9466573596000671,2390.61328125,1881.100341796875,0.9918678402900696,2373.153076171875,1829.43896484375,0.9957618117332458
26,2524.39892578125,1877.84912109375,0.9879122376441956,2482.39111328125,1882.635986328125,0.3577442169189453,2521.338623046875,1889.7039794921875,0.18544268608093262,2482.981201171875,1882.5711669921875,0.9939917922019958,2435.637939453125,1897.20703125,0.9966667294502258,2460.200927734375,1855.733154296875,0.9366101026535034,2390.5732421875,1880.9871826171875,0.9937938451766968,2373.31201171875,1828.3623046875,0.9956315755844116
27,2523.819580078125,1878.397216796875,0.9812860488891602,2482.074462890625,1882.885498046875,0.37375497817993164,2520.48583984375,1889.6788330078125,0.2452114373445511,2482.72314453125,1882.782958984375,0.9927263259887695,2435.63720703125,1897.7520751953125,0.9947127103805542,2459.759765625,1855.5645751953125,0.9367260932922363,2391.880615234375,1881.731201171875,0.9881121516227722,2372.693603515625,1828.811279296875,0.9958279728889465
28,2524.552001953125,1877.9439697265625,0.9489125609397888,2480.42578125,1882.2257080078125,0.30959951877593994,2432.151611328125,1896.9439697265625,0.13386069238185883,2480.823974609375,1882.186767578125,0.9941102862358093,2434.64892578125,1897.5118408203125,0.9935343265533447,2458.61865234375,1856.52783203125,0.9283397793769836,2392.2666015625,1883.2994384765625,0.985348641872406,2371.103271484375,1830.0968017578125,0.9962815642356873
