scorer,DLC_resnet50_RatFeb2shuffle1_1080000,DLC_resnet50_RatFeb2shuffle1_1080000.1,DLC_resnet50_RatFeb2shuffle1_1080000.2,DLC_resnet50_RatFeb2shuffle1_1080000.3,DLC_resnet50_RatFeb2shuffle1_1080000.4,DLC_resnet50_RatFeb2shuffle1_1080000.5,DLC_resnet50_RatFeb2shuffle1_1080000.6,DLC_resnet50_RatFeb2shuffle1_1080000.7,DLC_resnet50_RatFeb2shuffle1_1080000.8,DLC_resnet50_RatFeb2shuffle1_1080000.9,DLC_resnet50_RatFeb2shuffle1_1080000.10,DLC_resnet50_RatFeb2shuffle1_1080000.11,DLC_resnet50_RatFeb2shuffle1_1080000.12,DLC_resnet50_RatFeb2shuffle1_1080000.13,DLC_resnet50_RatFeb2shuffle1_1080000.14,DLC_resnet50_RatFeb2shuffle1_1080000.15,DLC_resnet50_RatFeb2shuffle1_1080000.16,DLC_resnet50_RatFeb2shuffle1_1080000.17,DLC_resnet50_RatFeb2shuffle1_1080000.18,DLC_resnet50_RatFeb2shuffle1_1080000.19,DLC_resnet50_RatFeb2shuffle1_1080000.20,DLC_resnet50_RatFeb2shuffle1_1080000.21,DLC_resnet50_RatFeb2shuffle1_1080000.22,DLC_resnet50_RatFeb2shuffle1_1080000.23
bodyparts,Nose,Nose,Nose,LeftEye,LeftEye,LeftEye,LeftEar,LeftEar,LeftEar,RightEye,RightEye,RightEye,RightEar,RightEar,RightEar,HP_post,HP_post,HP_post,CameraBrace-joint,CameraBrace-joint,CameraBrace-joint,CameraBrace-top,CameraBrace-top,CameraBrace-top
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
319,2556.647461,1863.839844,0.777816892,2517.705078,1865.801758,0.432520807,2555.981689,1870.44104,0.509563506,2518.30542,1865.450439,0.995451629,2469.884277,1884.760742,0.994969666,2495.918701,1836.596069,0.966657996,2424.097168,1861.658081,0.959753573,2405.963867,1810.744995,0.993260682
320,2558.500977,1864.280762,0.816148937,2518.156494,1865.009155,0.436823934,2553.578613,1870.234375,0.517108202,2519.267822,1863.6521,0.989293098,2470.057373,1882.138062,0.995437443,2498.304443,1836.273193,0.975204766,2423.974365,1859.506714,0.984252155,2407.63501,1809.143799,0.989989996
321,2560.441406,1864.453003,0.709002435,2520.232666,1864.031616,0.318613291,2559.138184,1869.740723,0.635982692,2521.443604,1863.943237,0.986413002,2471.141113,1881.414673,0.994732976,2498.685059,1836.886841,0.991083741,2426.202393,1858.77832,0.98480463,2408.726318,1807.442261,0.977308333
322,2560.248291,1863.731445,0.752099156,2519.946289,1864.106812,0.287075043,2558.629883,1868.830078,0.535626709,2521.24292,1863.945923,0.989393234,2470.287598,1881.521118,0.995006442,2498.317139,1836.710693,0.990629733,2424.167725,1859.752197,0.983965158,2408.273438,1808.585449,0.985654891
323,2558.201416,1865.690674,0.565638661,2519.591309,1865.251099,0.382548094,2556.729248,1871.091309,0.792695642,2519.966553,1864.956665,0.992099702,2470.445557,1883.330933,0.995449007,2497.556152,1836.34314,0.98526752,2423.531494,1861.234741,0.986396074,2406.520996,1810.267822,0.991917312
324,2558.11499,1862.851929,0.659947991,2518.81958,1864.335815,0.354097784,2468.341797,1882.525513,0.217218623,2519.994629,1863.515259,0.991346896,2470.147461,1883.771973,0.994817674,2494.771484,1836.527222,0.958805561,2423.64502,1864.423096,0.962705195,2404.463867,1812.68396,0.995954752
325,2560.251953,1861.512695,0.681867898,2519.937012,1864.543213,0.300217956,2558.379883,1867.155029,0.368607908,2520.753174,1864.124878,0.990935862,2470.238037,1883.668335,0.99486804,2495.661621,1837.446411,0.969495773,2423.614746,1863.901733,0.973773301,2404.704102,1812.335571,0.995452225
326,2561.297119,1861.802124,0.517348826,2520.597412,1864.921265,0.345067054,2468.405762,1881.894531,0.238457531,2521.554443,1864.62854,0.988062024,2470.475098,1883.259644,0.994599104,2497.462891,1837.383301,0.983112991,2423.585205,1861.89917,0.97132194,2406.511719,1809.840088,0.990947247
327,2558.558594,1862.940796,0.725652397,2518.525391,1866.281982,0.395276248,2557.015625,1868.879028,0.364226043,2519.127441,1865.808472,0.995550394,2468.880127,1884.287231,0.991286814,2495.102539,1839.306885,0.948357701,2422.903809,1862.184082,0.983112395,2404.872803,1810.985962,0.994605839
328,2553.985352,1865.690918,0.441147745,2513.071533,1867.103027,0.286512613,2551.033203,1874.026855,0.379871428,2512.745361,1867.425659,0.997080028,2463.386963,1885.023804,0.959827602,2490.358643,1842.362549,0.938526273,2420.462646,1861.26416,0.987307072,2402.96582,1812.226074,0.996987164
329,2551.31958,1870.976685,0.865864635,2505.949219,1872.240356,0.616606951,2549.358154,1877.956665,0.659722447,2506.272461,1871.485229,0.980827093,2458.399658,1885.481567,0.965929925,2488.935059,1845.52063,0.989971876,2420.903076,1859.259277,0.98612833,2403.9104,1810.123901,0.995475829
330,2547.306641,1884.156982,0.401581407,2505.280518,1876.954224,0.56614238,2546.124512,1890.108154,0.637611032,2506.05127,1875.571777,0.984854698,2456.611084,1886.419189,0.978381753,2489.931641,1846.6521,0.99123621,2423.795654,1855.974854,0.925042152,2407.996826,1806.145386,0.987407327
