scorer,DLC_resnet50_RatFeb2shuffle1_1080000,DLC_resnet50_RatFeb2shuffle1_1080000.1,DLC_resnet50_RatFeb2shuffle1_1080000.2,DLC_resnet50_RatFeb2shuffle1_1080000.3,DLC_resnet50_RatFeb2shuffle1_1080000.4,DLC_resnet50_RatFeb2shuffle1_1080000.5,DLC_resnet50_RatFeb2shuffle1_1080000.6,DLC_resnet50_RatFeb2shuffle1_1080000.7,DLC_resnet50_RatFeb2shuffle1_1080000.8,DLC_resnet50_RatFeb2shuffle1_1080000.9,DLC_resnet50_RatFeb2shuffle1_1080000.10,DLC_resnet50_RatFeb2shuffle1_1080000.11,DLC_resnet50_RatFeb2shuffle1_1080000.12,DLC_resnet50_RatFeb2shuffle1_1080000.13,DLC_resnet50_RatFeb2shuffle1_1080000.14,DLC_resnet50_RatFeb2shuffle1_1080000.15,DLC_resnet50_RatFeb2shuffle1_1080000.16,DLC_resnet50_RatFeb2shuffle1_1080000.17,DLC_resnet50_RatFeb2shuffle1_1080000.18,DLC_resnet50_RatFeb2shuffle1_1080000.19,DLC_resnet50_RatFeb2shuffle1_1080000.20,DLC_resnet50_RatFeb2shuffle1_1080000.21,DLC_resnet50_RatFeb2shuffle1_1080000.22,DLC_resnet50_RatFeb2shuffle1_1080000.23
bodyparts,Nose,Nose,Nose,LeftEye,LeftEye,LeftEye,LeftEar,LeftEar,LeftEar,RightEye,RightEye,RightEye,RightEar,RightEar,RightEar,HP_post,HP_post,HP_post,CameraBrace-joint,CameraBrace-joint,CameraBrace-joint,CameraBrace-top,CameraBrace-top,CameraBrace-top
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
2000,2462.02099609375,1021.2178344726562,0.9940668344497681,2438.221923828125,1059.0052490234375,0.7855964303016663,2499.70947265625,1138.67138671875,0.04445768892765045,2438.397705078125,1057.6114501953125,0.9571058750152588,2415.62890625,1074.377685546875,0.09034708887338638,2412.72265625,1062.7259521484375,0.7912505269050598,2417.34619140625,1064.1485595703125,0.12209698557853699,2413.30712890625,1066.193603515625,0.115811288356781
2001,2460.117431640625,1018.5523681640625,0.9876227378845215,2436.68115234375,1057.84619140625,0.700900673866272,2499.707275390625,1138.7061767578125,0.055763158947229385,2436.89697265625,1056.56298828125,0.9580755829811096,2410.33447265625,1069.9913330078125,0.08009952306747437,2411.08740234375,1062.4898681640625,0.7425560355186462,2417.330322265625,1064.093505859375,0.14886653423309326,2410.176025390625,1066.07373046875,0.20475976169109344
2002,2460.056640625,1013.92236328125,0.9981367588043213,2436.242431640625,1056.1561279296875,0.6684837937355042,2500.15625,1138.453125,0.05357338860630989,2436.49853515625,1054.8883056640625,0.9497705101966858,2409.218017578125,1070.150634765625,0.09091635793447495,2410.327880859375,1062.2642822265625,0.6633691191673279,2382.8984375,1135.534423828125,0.17606176435947418,2409.3359375,1066.327880859375,0.30442434549331665
2003,2459.6640625,1006.47607421875,0.9938428401947021,2434.22412109375,1052.8389892578125,0.45163431763648987,2441.67333984375,1050.3388671875,0.051192861050367355,2434.385986328125,1050.892822265625,0.9841926693916321,2405.990234375,1073.4542236328125,0.11454696953296661,2405.40185546875,1061.9049072265625,0.5470579266548157,2381.69287109375,1134.3294677734375,0.6969630122184753,2405.361328125,1066.421875,0.4814818501472473
2004,2456.761474609375,1001.5177612304688,0.993780791759491,2434.50634765625,1047.42138671875,0.4255683720111847,2443.328857421875,1050.4278564453125,0.02716011554002762,2433.509765625,1046.78662109375,0.9758860468864441,2404.436767578125,1073.0263671875,0.14559414982795715,2403.232421875,1059.89892578125,0.8290373086929321,2383.265869140625,1133.716796875,0.8310364484786987,2402.533447265625,1065.9210205078125,0.2716524004936218
2005,2457.7255859375,998.9122314453125,0.9968260526657104,2434.4228515625,1044.482177734375,0.3759990930557251,2442.9677734375,1034.3070068359375,0.04842894524335861,2434.0126953125,1043.5108642578125,0.9840537905693054,2404.781494140625,1068.9808349609375,0.0790242999792099,2405.16259765625,1056.9334716796875,0.6317276954650879,2385.734619140625,1131.785400390625,0.9197328090667725,2402.6083984375,1066.1534423828125,0.1637149155139923
2006,2461.888671875,1001.4989624023438,0.9931502938270569,2437.598388671875,1046.259521484375,0.5019606351852417,2456.27490234375,1011.6572265625,0.05282531678676605,2437.739013671875,1045.2437744140625,0.9858835339546204,2406.61865234375,1069.8818359375,0.19335582852363586,2407.803466796875,1057.2955322265625,0.6086055040359497,2385.37451171875,1131.2833251953125,0.9380066990852356,2406.0947265625,1065.4873046875,0.2722242474555969
2007,2464.424560546875,1001.8199462890625,0.9973376393318176,2438.62109375,1044.9559326171875,0.404197096824646,2457.603271484375,1011.9556274414062,0.04978286474943161,2438.327392578125,1044.864013671875,0.9874402284622192,2408.39990234375,1070.1192626953125,0.23626655340194702,2411.699951171875,1054.9112548828125,0.6269077658653259,2386.8505859375,1131.81103515625,0.9549106955528259,2407.418701171875,1065.4390869140625,0.30670759081840515
2008,2464.835693359375,1001.4052124023438,0.9981990456581116,2439.281005859375,1045.106201171875,0.5083697438240051,2443.135498046875,1052.1082763671875,0.045161500573158264,2439.203369140625,1045.2459716796875,0.9805444478988647,2407.8974609375,1071.1588134765625,0.21057717502117157,2412.471435546875,1055.2928466796875,0.7910158634185791,2388.95458984375,1131.530517578125,0.9570080637931824,2408.620361328125,1064.5218505859375,0.2747213840484619
2009,2465.188720703125,997.4231567382812,0.9992094039916992,2438.5556640625,1042.807861328125,0.3870353698730469,2442.99853515625,1033.3646240234375,0.10356856137514114,2438.67919921875,1041.302490234375,0.9866430759429932,2409.110107421875,1068.198486328125,0.34226107597351074,2412.72314453125,1050.5408935546875,0.9307966828346252,2388.653076171875,1128.192626953125,0.6948338747024536,2383.316650390625,1128.1904296875,0.0633235052227974
2010,2468.119140625,992.8450927734375,0.9989907145500183,2440.926513671875,1036.7236328125,0.38792815804481506,2409.2470703125,1069.979248046875,0.09466422349214554,2440.0546875,1035.6077880859375,0.96839439868927,2410.25146484375,1070.767822265625,0.8369084000587463,2413.763427734375,1048.5452880859375,0.9163525104522705,2384.747314453125,1124.7786865234375,0.19928066432476044,2414.277587890625,1061.4967041015625,0.05902159586548805
2011,2470.67626953125,988.8386840820312,0.9979091286659241,2445.0859375,1031.9019775390625,0.38960540294647217,2412.222900390625,1067.3985595703125,0.21856611967086792,2443.601806640625,1030.7174072265625,0.983878493309021,2414.7587890625,1067.8665771484375,0.9636468887329102,2416.095703125,1042.6514892578125,0.9616568684577942,2384.495361328125,1125.309326171875,0.20654629170894623,2351.9970703125,1070.024169921875,0.053256843239068985
2012,2469.182861328125,985.62158203125,0.9986512064933777,2444.38720703125,1028.7862548828125,0.4585779011249542,2412.46240234375,1065.3848876953125,0.21651776134967804,2443.176513671875,1027.5565185546875,0.9904492497444153,2414.848388671875,1066.0511474609375,0.9707502126693726,2412.957763671875,1038.6500244140625,0.9710170030593872,2383.2109375,1126.159423828125,0.1546083688735962,2349.968505859375,1068.3387451171875,0.4202032685279846
2013,2470.13818359375,982.4541015625,0.9994753003120422,2444.66455078125,1026.7120361328125,0.3992152512073517,2411.44384765625,1063.7940673828125,0.26367586851119995,2443.205322265625,1024.888427734375,0.9887058138847351,2415.153564453125,1065.0419921875,0.9747772216796875,2411.3935546875,1034.9996337890625,0.9829806089401245,2472.22021484375,983.385986328125,0.06023554503917694,2343.6220703125,1067.80712890625,0.580357551574707
2014,2470.805908203125,982.2332153320312,0.9993740916252136,2445.0654296875,1026.568115234375,0.42182937264442444,2413.392578125,1062.7001953125,0.28704833984375,2443.595703125,1024.582763671875,0.9872309565544128,2415.300048828125,1063.2381591796875,0.9848002195358276,2410.7333984375,1033.0186767578125,0.9803391098976135,2472.83740234375,983.3048706054688,0.051661137491464615,2338.0869140625,1070.5089111328125,0.6670265793800354
2015,2473.000244140625,982.6954345703125,0.9983348250389099,2445.074462890625,1027.4559326171875,0.45395809412002563,2411.744873046875,1062.7054443359375,0.29117387533187866,2443.709716796875,1025.653076171875,0.9880402684211731,2414.02685546875,1063.3360595703125,0.9859187602996826,2412.58056640625,1031.604736328125,0.9710413813591003,2381.044677734375,1127.384765625,0.3227308690547943,2335.163818359375,1070.851806640625,0.8522283434867859
2016,2473.28955078125,985.0913696289062,0.9947806000709534,2445.698974609375,1028.861083984375,0.38087669014930725,2411.332275390625,1063.17919921875,0.3049516975879669,2444.541259765625,1027.2960205078125,0.9901513457298279,2413.506103515625,1064.0447998046875,0.9803014397621155,2410.448486328125,1032.388427734375,0.9548800587654114,2381.0830078125,1127.54296875,0.16052570939064026,2333.90869140625,1070.462890625,0.790794849395752
2017,2477.837158203125,992.3579711914062,0.9955249428749084,2446.44140625,1031.861572265625,0.3092966079711914,2409.950927734375,1064.163330078125,0.2475416362285614,2445.20458984375,1030.197265625,0.9895294308662415,2413.6669921875,1065.7421875,0.9743457436561584,2413.793701171875,1032.711181640625,0.9486937522888184,2379.347412109375,1126.6390380859375,0.2584303617477417,2333.552734375,1069.0347900390625,0.8643045425415039
2018,2482.321044921875,989.99560546875,0.9970000386238098,2449.036865234375,1031.0205078125,0.4144490659236908,2409.87255859375,1064.7054443359375,0.24543806910514832,2447.3994140625,1029.8935546875,0.9867961406707764,2414.693603515625,1066.0076904296875,0.9450860023498535,2418.4228515625,1031.9725341796875,0.9696654677391052,2334.440185546875,1063.1864013671875,0.07009107619524002,2335.459228515625,1065.5198974609375,0.9586445689201355
2019,2487.437744140625,987.435302734375,0.9965618252754211,2450.1591796875,1026.31982421875,0.42482274770736694,2415.877685546875,1062.22705078125,0.320222407579422,2450.751708984375,1024.548583984375,0.9949740171432495,2418.48046875,1062.098876953125,0.9729059338569641,2420.1240234375,1026.2271728515625,0.9945092797279358,2336.384765625,1057.0421142578125,0.11679121106863022,2337.49267578125,1059.011474609375,0.9927438497543335
2020,2492.263916015625,970.8156127929688,0.9871727228164673,2457.99365234375,1012.2926025390625,0.5553575754165649,2422.520751953125,1053.2987060546875,0.4101167321205139,2456.775146484375,1011.0394897460938,0.9828562140464783,2424.885009765625,1052.82958984375,0.8588697910308838,2424.2451171875,1016.2520751953125,0.9931118488311768,2386.970458984375,1071.954833984375,0.5321182012557983,2343.19873046875,1051.3157958984375,0.9891753792762756
2021,2483.1201171875,955.4575805664062,0.9980206489562988,2459.264892578125,998.6294555664062,0.5299083590507507,2430.851806640625,1042.4781494140625,0.41025280952453613,2457.7490234375,997.235107421875,0.9870823621749878,2432.935302734375,1042.25634765625,0.991208553314209,2428.169189453125,1010.2406616210938,0.9946751594543457,2395.77001953125,1073.1871337890625,0.7325944304466248,2351.78662109375,1058.0316162109375,0.9898152351379395
2022,2482.78173828125,943.3103637695312,0.9974738955497742,2461.192626953125,991.45654296875,0.26801547408103943,2434.590087890625,1034.857666015625,0.3528773784637451,2459.034423828125,990.9189453125,0.9903976917266846,2436.690185546875,1034.158203125,0.9932907819747925,2428.2119140625,1004.2163696289062,0.9861999750137329,2404.1962890625,1071.693603515625,0.8680489659309387,2356.50244140625,1058.58447265625,0.9940149188041687
2023,2488.452392578125,941.3136596679688,0.9809401631355286,2464.586181640625,988.7333374023438,0.23762981593608856,2440.823486328125,1030.490478515625,0.1421232521533966,2463.100341796875,986.8782958984375,0.9918036460876465,2441.8505859375,1031.6395263671875,0.9932726621627808,2436.30029296875,1000.8365478515625,0.9961649179458618,2408.25244140625,1068.4500732421875,0.8519147038459778,2360.660400390625,1053.8070068359375,0.9847020506858826
2024,2486.72265625,942.5330810546875,0.9883058071136475,2465.5205078125,991.8709716796875,0.3202248513698578,2485.934814453125,962.0531005859375,0.23712806403636932,2465.209716796875,989.9515380859375,0.9921180605888367,2447.03271484375,1033.71142578125,0.9908099174499512,2434.84765625,1006.6159057617188,0.9923825860023499,2422.364501953125,1072.302490234375,0.8074466586112976,2366.451171875,1063.97119140625,0.9664031267166138
2025,2478.49169921875,948.3280639648438,0.9715875387191772,2464.494873046875,994.396240234375,0.38185739517211914,2479.11279296875,962.836181640625,0.7086228728294373,2463.565185546875,993.0432739257812,0.9845165610313416,2449.603271484375,1037.4381103515625,0.9921703934669495,2435.021728515625,1009.0682373046875,0.9898040294647217,2430.057861328125,1070.7303466796875,0.37386277318000793,2369.801025390625,1071.0802001953125,0.9001357555389404
2026,2476.23095703125,949.1967163085938,0.9665625691413879,2462.689697265625,995.317138671875,0.4013631045818329,2478.21728515625,963.4800415039062,0.5961659550666809,2460.94189453125,993.8344116210938,0.98667973279953,2447.205322265625,1038.8968505859375,0.9884002208709717,2430.545166015625,1012.1405029296875,0.9909836053848267,2426.17822265625,1073.294677734375,0.63811856508255,2367.9609375,1070.791748046875,0.9038823843002319
2027,2473.044189453125,950.5062255859375,0.9795509576797485,2457.9404296875,997.1134033203125,0.6724319458007812,2475.62109375,965.005126953125,0.3683057427406311,2456.732421875,996.4572143554688,0.9777592420578003,2443.5322265625,1040.757080078125,0.9900521636009216,2427.177001953125,1012.7402954101562,0.996377170085907,2421.034423828125,1071.4302978515625,0.47640830278396606,2364.411865234375,1069.7896728515625,0.6329353451728821
2028,2465.261474609375,954.5712890625,0.9961472749710083,2449.812744140625,996.6951293945312,0.2530505359172821,2434.94140625,1036.130615234375,0.24141360819339752,2448.60595703125,995.570068359375,0.9920918941497803,2436.413330078125,1035.4654541015625,0.9884175658226013,2423.458740234375,1013.4683227539062,0.9927338361740112,2417.85498046875,1072.3013916015625,0.8573172688484192,2357.842041015625,1068.4771728515625,0.9040841460227966
